Formatted Date,Summary,Temperature,ApparentTemperature,Humidity,WindSpeed,WindBearing,Visibility,Pressure
2006-04-01 00:00:00.000 +0200,Partly Cloudy,9.472222222,7.388888889,0.89,14.1197,251,15.8263,1015.13
2006-04-01 01:00:00.000 +0200,Partly Cloudy,9.355555556,7.227777778,0.86,14.2646,259,15.8263,1015.63
2006-04-01 02:00:00.000 +0200,Mostly Cloudy,9.377777778,9.377777778,0.89,3.9284,204,14.9569,1015.94
2006-04-01 03:00:00.000 +0200,Partly Cloudy,8.288888889,5.944444444,0.83,14.1036,269,15.8263,1016.41
2006-04-01 04:00:00.000 +0200,Mostly Cloudy,8.755555556,6.977777778,0.83,11.0446,259,15.8263,1016.51
2006-04-01 05:00:00.000 +0200,Partly Cloudy,9.222222222,7.111111111,0.85,13.9587,258,14.9569,1016.66
2006-04-01 06:00:00.000 +0200,Partly Cloudy,7.733333333,5.522222222,0.95,12.3648,259,9.982,1016.72
2006-04-01 07:00:00.000 +0200,Partly Cloudy,8.772222222,6.527777778,0.89,14.1519,260,9.982,1016.84
2006-04-01 08:00:00.000 +0200,Partly Cloudy,10.82222222,10.82222222,0.82,11.3183,259,9.982,1017.37
2006-04-01 09:00:00.000 +0200,Partly Cloudy,13.77222222,13.77222222,0.72,12.5258,279,9.982,1017.22
2006-04-01 10:00:00.000 +0200,Partly Cloudy,16.01666667,16.01666667,0.67,17.5651,290,11.2056,1017.42
2006-04-01 11:00:00.000 +0200,Partly Cloudy,17.14444444,17.14444444,0.54,19.7869,316,11.4471,1017.74
2006-04-01 12:00:00.000 +0200,Partly Cloudy,17.8,17.8,0.55,21.9443,281,11.27,1017.59
2006-04-01 13:00:00.000 +0200,Partly Cloudy,17.33333333,17.33333333,0.51,20.6885,289,11.27,1017.48
2006-04-01 14:00:00.000 +0200,Partly Cloudy,18.87777778,18.87777778,0.47,15.3755,262,11.4471,1017.17
2006-04-01 15:00:00.000 +0200,Partly Cloudy,18.91111111,18.91111111,0.46,10.4006,288,11.27,1016.47
2006-04-01 16:00:00.000 +0200,Partly Cloudy,15.38888889,15.38888889,0.6,14.4095,251,11.27,1016.15
2006-04-01 17:00:00.000 +0200,Mostly Cloudy,15.55,15.55,0.63,11.1573,230,11.4471,1016.17
2006-04-01 18:00:00.000 +0200,Mostly Cloudy,14.25555556,14.25555556,0.69,8.5169,163,11.2056,1015.82
2006-04-01 19:00:00.000 +0200,Mostly Cloudy,13.14444444,13.14444444,0.7,7.6314,139,11.2056,1015.83
2006-04-01 20:00:00.000 +0200,Mostly Cloudy,11.55,11.55,0.77,7.3899,147,11.0285,1015.85
2006-04-01 21:00:00.000 +0200,Mostly Cloudy,11.18333333,11.18333333,0.76,4.9266,160,9.982,1015.77
2006-04-01 22:00:00.000 +0200,Partly Cloudy,10.11666667,10.11666667,0.79,6.6493,163,15.8263,1015.4
2006-04-01 23:00:00.000 +0200,Mostly Cloudy,10.2,10.2,0.77,3.9284,152,14.9569,1015.51
2006-04-10 00:00:00.000 +0200,Partly Cloudy,10.42222222,10.42222222,0.62,16.9855,150,15.8263,1014.4
2006-04-10 01:00:00.000 +0200,Partly Cloudy,9.911111111,7.566666667,0.66,17.2109,149,15.8263,1014.2
2006-04-10 02:00:00.000 +0200,Mostly Cloudy,11.18333333,11.18333333,0.8,10.8192,163,14.9569,1008.71
2006-04-10 03:00:00.000 +0200,Partly Cloudy,7.155555556,5.044444444,0.79,11.0768,180,15.8263,1014.47
2006-04-10 04:00:00.000 +0200,Partly Cloudy,6.111111111,4.816666667,0.82,6.6493,161,15.8263,1014.45
2006-04-10 05:00:00.000 +0200,Partly Cloudy,6.788888889,4.272222222,0.83,13.0088,135,14.9569,1014.49
2006-04-10 06:00:00.000 +0200,Mostly Cloudy,7.261111111,5.155555556,0.85,11.1734,141,6.1985,1014.52
2006-04-10 07:00:00.000 +0200,Mostly Cloudy,7.8,5.527777778,0.83,12.8156,150,8.05,1014.16
2006-04-10 08:00:00.000 +0200,Mostly Cloudy,9.872222222,7.933333333,0.78,13.7494,160,9.982,1014.24
2006-04-10 09:00:00.000 +0200,Mostly Cloudy,12.22222222,12.22222222,0.72,15.6331,150,9.982,1014.25
2006-04-10 10:00:00.000 +0200,Mostly Cloudy,15.09444444,15.09444444,0.61,17.549,151,9.982,1013.96
2006-04-10 11:00:00.000 +0200,Mostly Cloudy,17.35555556,17.35555556,0.52,22.7815,169,9.982,1013.85
2006-04-10 12:00:00.000 +0200,Mostly Cloudy,19.00555556,19.00555556,0.46,23.8924,169,9.982,1013.04
2006-04-10 13:00:00.000 +0200,Mostly Cloudy,20.04444444,20.04444444,0.4,28.3682,170,9.982,1012.22
2006-04-10 14:00:00.000 +0200,Mostly Cloudy,21.05,21.05,0.4,26.9031,187,10.3523,1011.44
2006-04-10 15:00:00.000 +0200,Mostly Cloudy,21.18333333,21.18333333,0.37,25.6956,179,9.982,1010.52
2006-04-10 16:00:00.000 +0200,Mostly Cloudy,20.11666667,20.11666667,0.4,25.3092,162,9.982,1009.83
2006-04-10 17:00:00.000 +0200,Mostly Cloudy,20.21666667,20.21666667,0.36,18.1125,161,10.3523,1009.26
2006-04-10 18:00:00.000 +0200,Mostly Cloudy,20,20,0.43,23.4255,160,9.982,1008.76
2006-04-10 19:00:00.000 +0200,Mostly Cloudy,17.8,17.8,0.5,20.0445,150,11.2056,1008.36
2006-04-10 20:00:00.000 +0200,Mostly Cloudy,16.06111111,16.06111111,0.53,21.3969,149,9.982,1008.11
2006-04-10 21:00:00.000 +0200,Mostly Cloudy,15.02222222,15.02222222,0.55,21.3808,159,9.982,1008.15
2006-04-10 22:00:00.000 +0200,Overcast,14.42222222,14.42222222,0.58,20.0123,159,15.8263,1007.85
2006-04-10 23:00:00.000 +0200,Overcast,14.25555556,14.25555556,0.59,16.5025,168,14.9569,1007.89
2006-04-11 00:00:00.000 +0200,Overcast,13.77222222,13.77222222,0.6,17.0982,160,15.8263,1007.36
2006-04-11 01:00:00.000 +0200,Overcast,13.28333333,13.28333333,0.63,14.3612,160,15.8263,1007.26
2006-04-11 02:00:00.000 +0200,Overcast,8.633333333,5.466666667,0.87,22.0409,32,6.6976,1005.1
2006-04-11 03:00:00.000 +0200,Overcast,11.25,11.25,0.83,11.3344,152,15.8263,1007.01
2006-04-11 04:00:00.000 +0200,Overcast,11.18333333,11.18333333,0.89,11.2056,180,9.9015,1006.73
2006-04-11 05:00:00.000 +0200,Overcast,10.69444444,10.69444444,0.95,10.4006,161,6.6976,1006.59
2006-04-11 06:00:00.000 +0200,Mostly Cloudy,11.11111111,11.11111111,0.93,12.0106,140,5.9731,1006.34
2006-04-11 07:00:00.000 +0200,Mostly Cloudy,11.11111111,11.11111111,0.93,9.2092,103,10.8031,1006.09
2006-04-11 08:00:00.000 +0200,Partly Cloudy,12.16666667,12.16666667,0.82,9.9015,113,10.6743,1005.97
2006-04-11 09:00:00.000 +0200,Partly Cloudy,12.75555556,12.75555556,0.79,13.8299,129,10.8192,1005.63
2006-04-11 10:00:00.000 +0200,Partly Cloudy,13.83888889,13.83888889,0.84,9.0965,159,10.8192,1005.83
2006-04-11 11:00:00.000 +0200,Partly Cloudy,16.18333333,16.18333333,0.73,0.644,207,10.7548,1005.97
2006-04-11 12:00:00.000 +0200,Mostly Cloudy,17.51666667,17.51666667,0.67,0.6762,153,10.8997,1005.64
2006-04-11 13:00:00.000 +0200,Mostly Cloudy,17.38333333,17.38333333,0.67,3.864,4,10.8514,1005.2
2006-04-11 14:00:00.000 +0200,Mostly Cloudy,17.36111111,17.36111111,0.71,7.8246,341,11.0768,1005.1
2006-04-11 15:00:00.000 +0200,Mostly Cloudy,17.20555556,17.20555556,0.74,15.5848,15,10.8514,1004.65
2006-04-11 16:00:00.000 +0200,Mostly Cloudy,15.63333333,15.63333333,0.81,23.6992,348,10.8836,1004.04
2006-04-11 17:00:00.000 +0200,Overcast,13.57777778,13.57777778,0.9,20.9622,321,7.6153,1004.08
2006-04-11 18:00:00.000 +0200,Foggy,10.91111111,10.91111111,0.86,22.3951,311,2.6565,1004.61
2006-04-11 19:00:00.000 +0200,Foggy,8.8,5.294444444,0.99,26.5006,339,2.6565,1004.99
2006-04-11 20:00:00.000 +0200,Overcast,8.961111111,5.777777778,0.93,23.2162,340,3.8157,1004.85
2006-04-11 21:00:00.000 +0200,Overcast,8.2,4.605555556,0.96,25.4219,330,4.4919,1004.96
2006-04-11 22:00:00.000 +0200,Overcast,7.688888889,3.722222222,0.96,28.1267,339,4.4436,1005.14
2006-04-11 23:00:00.000 +0200,Overcast,7.766666667,4.65,0.96,19.2878,339,5.6833,1005.05
2006-04-12 00:00:00.000 +0200,Foggy,8.2,5.072222222,0.96,20.447,341,3.1073,1004.8
2006-04-12 01:00:00.000 +0200,Foggy,8.177777778,4.372222222,0.93,27.8691,19,3.2039,1004.89
2006-04-12 02:00:00.000 +0200,Mostly Cloudy,7.311111111,6.183333333,0.82,6.7459,277,14.0553,1007
2006-04-12 03:00:00.000 +0200,Overcast,7.644444444,5.038888889,0.93,14.9086,9,6.118,1004.3
2006-04-12 04:00:00.000 +0200,Overcast,6.622222222,2.616666667,0.93,25.0355,0,6.118,1003.68
2006-04-12 05:00:00.000 +0200,Overcast,6.683333333,3.222222222,0.93,19.8352,350,6.1663,1003.86
2006-04-12 06:00:00.000 +0200,Overcast,6.088888889,1.65,0.93,28.0945,349,7.9695,1003.57
2006-04-12 07:00:00.000 +0200,Overcast,6.066666667,1.633333333,0.93,27.9818,348,6.3434,1003.96
2006-04-12 08:00:00.000 +0200,Breezy and Mostly Cloudy,6.144444444,1.494444444,0.93,30.8637,349,10.5455,1004.1
2006-04-12 09:00:00.000 +0200,Breezy and Mostly Cloudy,7.133333333,2.688888889,0.8,32.1678,349,11.2056,1004.26
2006-04-12 10:00:00.000 +0200,Overcast,7.205555556,3.233333333,0.86,26.5328,339,11.27,1004.18
2006-04-12 11:00:00.000 +0200,Mostly Cloudy,7.566666667,3.544444444,0.84,28.336,339,10.5455,1004.23
2006-04-12 12:00:00.000 +0200,Mostly Cloudy,8.9,5.161111111,0.77,29.8333,348,11.27,1004.47
2006-04-12 13:00:00.000 +0200,Mostly Cloudy,9.961111111,6.644444444,0.71,28.4809,339,11.27,1004.52
2006-04-12 14:00:00.000 +0200,Mostly Cloudy,9.888888889,6.55,0.71,28.5131,338,11.0768,1004.29
2006-04-12 15:00:00.000 +0200,Mostly Cloudy,11.06666667,11.06666667,0.71,25.6956,320,11.27,1003.93
2006-04-12 16:00:00.000 +0200,Overcast,10.11666667,10.11666667,0.76,25.3414,311,11.27,1004
2006-04-12 17:00:00.000 +0200,Overcast,11.03888889,11.03888889,0.66,21.413,311,9.982,1004.3
2006-04-12 18:00:00.000 +0200,Overcast,10.65,10.65,0.7,17.8549,310,14.9086,1004
2006-04-12 19:00:00.000 +0200,Overcast,10.05,10.05,0.7,15.1984,328,9.982,1004.39
2006-04-12 20:00:00.000 +0200,Mostly Cloudy,9.9,7.716666667,0.66,15.7297,348,11.0285,1005.48
2006-04-12 21:00:00.000 +0200,Overcast,8.794444444,6.816666667,0.71,12.3648,20,9.982,1005.89
2006-04-12 22:00:00.000 +0200,Mostly Cloudy,7.827777778,5.405555556,0.72,13.8943,28,15.8263,1006.37
2006-04-12 23:00:00.000 +0200,Overcast,7.855555556,6.122222222,0.72,9.8049,11,15.0052,1006.56
2006-04-13 00:00:00.000 +0200,Mostly Cloudy,7.316666667,6.211111111,0.75,6.6654,326,15.8746,1007.07
2006-04-13 01:00:00.000 +0200,Overcast,7.244444444,6.005555556,0.75,7.1162,309,15.8746,1007.37
2006-04-13 02:00:00.000 +0200,Partly Cloudy,5.438888889,5.438888889,0.88,3.7191,193,9.982,1012.23
2006-04-13 03:00:00.000 +0200,Overcast,7.2,4.55,0.76,14.4739,273,15.8263,1007.28
2006-04-13 04:00:00.000 +0200,Overcast,6.688888889,3.161111111,0.7,20.5275,300,15.8263,1007.18
2006-04-13 05:00:00.000 +0200,Overcast,6.211111111,2.694444444,0.73,19.3039,309,14.9569,1007.39
2006-04-13 06:00:00.000 +0200,Overcast,6.111111111,2.8,0.76,17.4363,300,9.982,1007.67
2006-04-13 07:00:00.000 +0200,Overcast,6.111111111,2.438888889,0.76,20.4148,300,9.982,1007.98
2006-04-13 08:00:00.000 +0200,Overcast,6.172222222,2.922222222,0.76,17.0499,307,9.982,1008.57
2006-04-13 09:00:00.000 +0200,Overcast,7.222222222,3.833333333,0.71,20.5114,319,9.982,1008.87
2006-04-13 10:00:00.000 +0200,Overcast,7.288888889,4.244444444,0.73,17.6456,328,9.982,1009.44
2006-04-13 11:00:00.000 +0200,Overcast,7.405555556,4.816666667,0.72,14.4095,318,9.982,1010.03
2006-04-13 12:00:00.000 +0200,Overcast,7.961111111,6.072222222,0.7,10.7548,321,10.0464,1010.22
2006-04-13 13:00:00.000 +0200,Overcast,8.033333333,7.583333333,0.7,4.8622,349,10.0464,1010.39
2006-04-13 14:00:00.000 +0200,Overcast,9.077777778,9.077777778,0.65,2.3828,348,10.0303,1010.24
2006-04-13 15:00:00.000 +0200,Overcast,9.05,9.05,0.62,0.322,243,9.982,1010
2006-04-13 16:00:00.000 +0200,Overcast,9.05,9.05,0.65,3.2522,177,11.2056,1009.98
2006-04-13 17:00:00.000 +0200,Overcast,9.183333333,9.183333333,0.65,3.0107,170,11.0285,1010.05
2006-04-13 18:00:00.000 +0200,Overcast,9.072222222,7.455555556,0.7,10.465,172,9.982,1010.1
2006-04-13 19:00:00.000 +0200,Overcast,7.983333333,6.811111111,0.75,7.3416,172,9.982,1010.39
2006-04-13 20:00:00.000 +0200,Overcast,8.072222222,6.433333333,0.75,9.5151,150,9.982,1010.91
2006-04-13 21:00:00.000 +0200,Overcast,7.894444444,6.127777778,0.82,9.9981,142,9.982,1011.32
2006-04-13 22:00:00.000 +0200,Overcast,7.311111111,4.805555556,0.83,13.685,141,11.9784,1011.61
2006-04-13 23:00:00.000 +0200,Mostly Cloudy,7.338888889,5.183333333,0.84,11.5437,141,14.168,1011.97
2006-04-14 00:00:00.000 +0200,Mostly Cloudy,6.622222222,4.111111111,0.85,12.719,142,14.9086,1012.22
